addr:housenumber,addr:street,name:en,reservation,memorial,title,lgbtq,brand,description,latitude,brand:wikipedia,common_tags,wikipedia,image,wheelchair,checkIn,name,wheelchair:description,addr:postcode,address,checkOut,note,takeaway,cuisine,beauty,shop,wikimedia_commons,contact:website,longitude,toilets:wheelchair,hours,stars,changing_table,toilets,url,internet_access,alt,smoking,opening_hours,type,phone,amenity,old_name,price,website,meal,Micheline,category,Service,room_facilities,accommodation_type,drink type,music type,Ambiental,price range,private_bath,air_conditioning,bath,balcony,view,kitchen,tv,bed_number,size,indoor/outdoor seating,dietary
12,Dam,New Church,,,Nieuwe Kerk,,,Used for royal coronations most recently the crowning of King WillemAlexander in 2013 and royal weddings most recently the wedding of crown prince WillemAlexander to princess Máxima in 2002 Today the church is no longer used for services but is now a popular exhibition space With a steep entry price of €10 this is one of the most expensive and least rewarding visitor attractions in the country,52.373913,,yes 82 no 18 EUR 24 2 adults camper 2 first hour and restaurant free €2hour€8day€5extra night 1 X        X yes 2234 limited 983 no 881,nlNieuwe Kerk Amsterdam,Amsterdam Nieuwe Kerk Koorhekjpg,yes,,Nieuwe Kerk,,1012NP,Dam,,,,,,,CategoryNieuwe Kerk Amsterdam,,4.891715,yes,,,,,httpwwwnieuwekerknlen,,,,,see,31 20 6386909,museum,,Price €10,httpswwwnieuwekerknl,,,,,,,,,,,,,,,,,,,,,
23,Oudekerksplein,Old Church,,,Oude Kerk,,,The oldest of the five main churches in the historic centre and probably the oldest building in Amsterdam It is right in the heart of the Red Light District You can climb the tower from April to September on Saturday and Sunday every halfhour Also open in the winter by group appointment maximum 10 people cost €70 per hour Email for more information,52.374361,,yes 82 no 18 EUR 24 2 adults camper 2 first hour and restaurant free €2hour€8day€5extra night 1 2 21 8 2  X         X   christian 2 none 2   X  X yes 2234 limited 983 no 881,nlOude Kerk Amsterdam,Amsterdam Oude Kerk 2008jpg,yes,,Oude Kerk,,1012GX,Oudezijds Voorburgwal,,,,,,,CategoryOude Kerk Amsterdam,,4.898088,,,,,,httpwwwoudekerknl,,,,MoSa 10001800 Su 13001730,see,,church,,Price €70 per hour,httpswwwoudekerknl,,,,,,,,,,,,,,,,,,,,,
,,,,,Zuiderkerk,,,Built in 16031611 Located on Zuiderkerkhof Southern Graveyard Now an information centre on housing and planning You can visit the tower from April to September Monday to Saturday with guide only every halfhour cost €6 Also open in the winter by group appointment maximum 15 people cost €70 per hr Email for more information,52.370258,,X X X,,Amsterdam  Zuiderkerk and RaamgrachtJPG,,,Nilis tshirt,,,Zuiderkerkhof 72,,,,,,clothes,,,4.899837,,,,,,httpwwwzuiderkerkamsterdamnl,,,,,see,,,,,httpswwwnili4ucom,,,,,,,,,,,,,,,,,,,,,
127,Oude Turfmarkt,Allard Pierson Museum,,,Allard Pierson Museum,,,Archeological museum,52.36877,,X yes 82 no 18 EUR 24 2 adults camper 2 first hour and restaurant free €2hour€8day€5extra night 1 wlan 431 yes 64 no 20 X         X yes 2234 limited 983 no 881,nlAllard Pierson Museum,Allard piersonjpg,yes,,Allard Pierson Museum,,1012GC,Oude Turfmarkt 127,,,,,,,CategoryAllard Pierson Museum,,4.892939,,MF 10001700 SaSu 13001700,,,,httpwwwallardpiersonmuseumnlen,wlan,,,,see,31 20 5252556,museum,,€650,httpsallardpiersonnl,,,,,,,,,,,,,,,,,,,,,
92,Kalverstraat,Amsterdam Museum,,,Amsterdam Museum,,,museum of Amsterdams city history,52.370278,,X X  X X       X    X yes 2234 limited 983 no 881,nlAmsterdam Museum,Amsterdam Binnenplaats meisjesjpg,yes,,Amsterdam Museum,,1012PH,Nieuwezijds Voorburgwal 357 or Kalverstraat 92,,Locatie tijdelijk gesloten vanwege renovatie verhuisd naar gebouw Hermitage  location temporarily closed for renovation moved to Hermitage building,,,,,,,4.890833,yes,MF 10001700 SaSu 11001700,,,,httpwwwamsterdammuseumnlen,,,,MoSu 10001700,see,31 20 5231822,museum,Amsterdams Historisch Museum,€10,httpswwwamsterdammuseumnl,,,,,,,,,,,,,,,,,,,,,
92,Kalverstraat,Amsterdam Museum,,,Civic Guards Gallery,,,museum of Amsterdams city history,52.370154,,X X  X X       X    X yes 2234 limited 983 no 881,nlAmsterdam Museum,Schuttersgalerij naar het noorden  Amsterdam  20014295  RCEjpg,yes,,Amsterdam Museum,,1012PH,Kalverstraat 92,,Locatie tijdelijk gesloten vanwege renovatie verhuisd naar gebouw Hermitage  location temporarily closed for renovation moved to Hermitage building,,,,,,,4.890678,yes,MF 10001700 Sa Su 11001700,,,,,,Schuttersgalerij,,MoSu 10001700,see,31 20 5231822,museum,Amsterdams Historisch Museum,Free,httpswwwamsterdammuseumnl,,,,,,,,,,,,,,,,,,,,,
1,Nieuwe Amstelstraat,Jewish Museum,,,Jewish Historical Museum,,,Jewish Historical Museum History of the Jewish people culture and religion,52.36735,,yes 82 no 18 EUR 24 2 adults camper 2 first hour and restaurant free €2hour€8day€5extra night 1 X     X    X  X yes 2234 limited 983 no 881,nlJoods Historisch Museum,,yes,,Joods Museum,,1011PL,Nieuwe Amstelstraat 1,,,,,,,CategoryJoods Historisch Museum,,4.9037,,11001700 daily except some Jewish holidays,,,,httpwwwjhmnlenglish,,Joods Historisch Museum,,MoSu 11001700,see,31 20 5310310,yes,,€9,httpswwwjhmnl,,,,,,,,,,,,,,,,,,,,,
,,,,,Ons Lieve Heer op Solder,,,One of the oldest museums in Amsterdam this is a Catholic church stuffed into the upper stories of a house built in 1663 when Catholics were persecuted and had to disguise their churches Its amazing to see how they fit worshippers an organ and an altar into such a narrow place,52.374977,,X,,,,,Hotel Vijaya,,,Oudezijds Voorburgwal 40,,,,,,,,,4.899215,,MSa 10001700 Su 13001700,,,,httpwwwopsoldernlen,,Our Lord in the Attic,,,see,31 20 6246604,hotel,,€7,,,,,,,,,,,,,,,,,,,,,,
,,,,,Oranje Voetbal Museum,,,The legacy of Dutch football started in the 1970s when Total Football a revolutionary Dutch style of football shook the world The Netherlands is the best football nation that never won the World Cup it lost the final three times a national trauma It did win the European Cup in 1988 lead by star player Marco van Basten This museum has four floors dedicated to Oranje and a small cinema that shows a 20minute film with historic football moments Especially recommended for Germans,52.367229,,X X yes 2234 limited 983 no 881,,,yes,,Bubble Tea,,,Kalverstraat 236,,,,,,,,,4.89279,,Sa Su 11001500,,,,,,,,,see,31 20 5898989,cafe,,€5,,,,,,,,,,,,,,,,,,,,,,
4,Jodenbreestraat,Rembrandt House,,,Rembrandt House,,,The house where Rembrandt van Rijn lived,52.369364,,X  X  yes 82 no 18 EUR 24 2 adults camper 2 first hour and restaurant free €2hour€8day€5extra night 1 X         X    X yes 2234 limited 983 no 881,nlRembrandthuis,,limited,,Rembrandthuis,Museum not fully accessible  but the exhibitions are accessible by lift,1011NK,Jodenbreestraat 4,,,,,,,CategoryRembrandt House Museum,,4.901257,yes,10001700 daily,,,,httpwwwrembrandthuisnl,,,,TuSu 10001800,see,31 20 520 0400,museum,,€1250,httpswwwrembrandthuisnl,,,,,,,,,,,,,,,,,,,,,
,,,,,Amsterdam Music Theatre,,,Opera dance ballet and other performances Holds a free lunch concert on Tuesdays,52.367288,,X X,,,,,Hapjeshoek,,,Waterlooplein 22,,,,,,,,,4.901023,,MF 12001800 Sa Su 12001500,,,,httpwwwhetmuziektheaternlen,,Het Muziektheater,,,do,31 20 5518117,restaurant,,,,,,Entertainment,,,,,,,,,,,,,,,,,,
,,,,,NEMO,,,Above a tunnel overseeing the IJ NEMO is the largest science museum in the Netherlands Its a showcase of how scientific phenomena influence daily life Different sections of the museum deal with technology and engineering ICT and bio and behavioral sciences This is a place to take kids and is best for those ages 11 and below—teenagers will probably get bored During summer it has a panorama roof terrace on its roof with deckchairs with free entry,52.374243,,X yes 10 no 9 X yes 72 no 22 unisex 2  yes 2234 limited 983 no 881,,,limited,,DAK restaurant Nemo,,,Oosterdok 2,,,,,,,,,4.91226,yes,TuSu 10001700,,yes,yes,httpwwwenemonlen,,,,,do,31 20 5313233,restaurant,,€1150,,,,Interactive,,,,,,,Cheap,,,,,,,,,,,
173175,Nieuwe Uilenburgerstraat,Gassan Diamonds,,,Gassan Diamonds,,,A guided tour is given thats all about the diamond production process and the history of diamond trade in Amsterdam Diamonds have been traded in Amsterdam for longer than 425 years and the city used to be known as the City of Diamonds Tours are given in 27 languages Of course you can also buy Gassan diamonds here but you dont have to,52.369581,,X   X X  X,,,,,Gassan Diamonds,,1011LN,Nieuwe Uilenburgerstraat 173175,,,,,,jewelry,,,4.904041,,09001700 daily,,,,httpwwwgassancom,,,,PHMoSu 09001700,do,31 20 6225333,attraction,,Free the tour not the diamonds,httpswwwgassancom,,,Cultural,,,,,,,Since the activity is free it falls under the cheap category,,,,,,,,,,,
148,Oudezijds Achterburgwal,Hash Marihuana  Hemp Museum,,,Hash Marihuana and Hemp Museum,,,This is an information centre cq attraction that does not conform to the museum definitions of Unesco ICOM and Museumvereniging,52.371736,,X yes 82 no 18 EUR 24 2 adults camper 2 first hour and restaurant free €2hour€8day€5extra night 1 X     X  X yes 2234 limited 983 no 881,nlHash Marihuana  Hemp Museum,,yes,,Hash Marihuana  Hemp Museum,,1012DV,Oudezijds Achterburgwal 148,,,,,,,CategoryHash Marihuana  Hemp Museum,,4.896966,,10002300 daily,,,,httpwwwhashmuseumcom,,,,10002200,do,31 20 6248926,museum,,€9,httpshashmuseumcomamsterdam,,,,,,,,,,The activity is categorized as cheap,,,,,,,,,,,
18,Damrak,Sexmuseum,,,Sexmuseum,,,The largest and most prestigious museum for sex art and sex history in the Netherlands It shows a lot of sex oddities Only ages 16 and up are allowed entry,52.37666,,yes 82 no 18 EUR 24 2 adults camper 2 first hour and restaurant free €2hour€8day€5extra night 1 X      X   X yes 2234 limited 983 no 881,nlSexmuseum,,no,,Venustempel Sexmuseum,,1012LH,Damrak 18,,,,,,,CategorySexmuseum Amsterdam,,4.897235,no,09002200 daily,,,,httpwwwsexmuseumamsterdamnlindex2html,,,,MoSu 09302330,do,31 20 6228376,museum,,€4,httpssexmuseumamsterdamnl,,,Museum,,,,,,,This activity is categorized as cheap,,,,,,,,,,,
,,,,,Madame Tussauds,,Peek  Cloppenburg,The wellknown franchise of wax museums also has a branch in Amsterdam Its a major tourist attraction so expect a steep entry fee and long queues Unique to this branch are waxworks of famous Dutch people including WillemAlexander Beatrix Tiësto Rafael van der Vaart Doutzen Kroes Vincent van Gogh and Rembrandt,52.372619,enPeek  Cloppenburg,X   X X yes 2234 limited 983 no 881,,Madam Tussaudjpg,yes,,Peek  Cloppenburg,,,Dam 20,,,,,,clothes,CategoryPeek  Cloppenburg Amsterdam,,4.892534,,10001830 daily,,,,httpwwwmadametussaudscomamsterdam,,,,,do,31 20 5221010,,,€22,,,,Museum,,,,,,,This activity would be categorized as mediumpriced,,,,,,,,,,,
74,Rokin,,,,Amsterdam Dungeon,,Starbucks,The Amsterdam Dungeon is a horror tour through several dark chambers with live actors It ends with a roller coaster raging through a real 13th century church,52.370172,enStarbucks,X X   X X  X    yes 368 no 41 only 25  X yes 2234 limited 983 no 881,,,limited,,Starbucks,,1012KW,Rokin 78,,,yes,coffeeshop,,,,,4.892118,yes,11001700 daily 24 Dec8 Jan 10301730 daily 2 Jul4 Sep 11001800 daily,,,,httpwwwthedungeonsnl,,,,MoSu 07002200,do,31 20 217 0700,cafe,,€21,httpswwwstarbucksnl,,,Interactive,,,,,,,This activity would be categorized as medium in terms of price,,,,,,,,,,,
32,Damrak,Orange Tulip,,,Museum of Medieval Torture Instruments,,,The latest gimmicky tourist attraction near the Centraal Station its a small museum about medieval torture and torture devices In the Middle Ages torture was a widely known punishment for almost all crimes committed ranging from rape to murder and above all for heresy The type of punishment depended on the victims crime and social status The Museum of Medieval Torture Instruments displays over 100 devices used to torture people Before its makeover it used to be the Vodka Museum the vodka shop is still open in the basement with free entry,52.376089,,X,,,,,De Oranje Tulp,,1012LK,Damrak 33,,,,,,,,,4.89653,,09002200 daily,,,,httpwwwtortureamsterdamcom,,,,,do,31 20 5286035,hotel,,€1250,,,,Historic,,,,,,,This activity would be categorized as medium in terms of pricing,,,,,,,,,,,
,,,,,Torture Museum,,,Youd think one museum about torture would be enough but no not in Amsterdam However this was the first torture museum in the city centre and is at least somewhat more authentic than the copycat The museum depicts the history of different torturous techniques used over the centuries The lighting is bad the corridors are small and the price an absolute ripoff You can walk through it in 1530 minutes,52.36732,,nails 36 tanning 19 waxing 8 skincare 4 spa 3 pedicure 1  1 eyelashnails 1 hairremovalskincare 1 cosmetics 1 X X,,,,,Amsterdam Nail Art Studio,,,Singel 449,,,,,nails,beauty,,,4.890555,,10002300,,,,httpwwwtorturemuseumcom,,,,,do,31 20 3206642,,,€7,,,,Museum,,,,,,,This activity would be categorized as cheap,,,,,,,,,,,
12,Spui,,,,Spui,,,Every Friday and Sunday a market is held on the Spui Friday has books on sale while Sundays are all about art and antiques,52.36881,,X X  X X yes 2234 limited 983 no 881,,,yes,,American Book Center,,1012XA,,,,,,,books,,,4.88971,,,,,,httpwwwdeboekenmarktophetspuinlindexphpen,,,,Mo 12002000 TuWe 10002000 Th 10002100 FrSa 10002000 Su 11001830,buy,31 20 625 5537,,,,httpswwwabcnl,,,,,,,,,,,,,,,,,,,,,
1,Waterlooplein,,,,Waterloopleinmarkt,,,A wellknown but fairly overrated market near the city hall Partly flea market partly alternative and second hand clothing and accessories More oriented towards tourists than to locals,52.36865,,X X   X yes 2234 limited 983 no 881,,,no,,Episode,,1011NV,,,,,,,secondhand,,,4.90119,,MSa until about 1700,,,,,,,,,buy,,,,,httpswwwepisodeeu,,,,,,,,,,,,,,,,,,,,,
12,Spui,,,,The American Book Center,,,Excellent shop for literature and books in the English language particularly on American culture,52.36904,,X X  X X yes 2234 limited 983 no 881,,,yes,,American Book Center,,1012XA,Spui 12,,,,,,books,,,4.8899,,M 12002000 TuW FSa 10002000 Th 10002100 Su 11001830,,,,httpwwwabcnl,,,,Mo 12002000 TuWe 10002000 Th 10002100 FrSa 10002000 Su 11001830,buy,31 20 625 5537,,,,httpswwwabcnl,,,,,,,,,,,,,,,,,,,,,
,,,,,Athenaeum Boekhandel,,,One of the most renowned book stores of Amsterdam because of its wide array of fiction and more academic titles It is very popular among local students however their study books are also interesting reading material for nongraduates They have a particular large selection of books in the humanities including history media language culture and international relations,52.36896,,X X X X yes 2234 limited 983 no 881,,,no,,Athenaeum Boekhandel,,,Spui 1416,,,,,,books,,,4.88906,,M 11001800 TuW Sa 09301800 Th 09302100 F 9301830 Su 12001730,,,,httpswwwathenaeumnlwinkelsathenaeum,,,,,buy,31 20 5141460,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,The Book Exchange,,,A secondhand bookstore specialising in English books and has a large selection with an especially good selection of travel writing detectives and SFfantasy,52.37013,,X X only 49 yes 39 no 13 X yes 2234 limited 983 no 881,,,no,,The Book Exchange,,,Kloveniersburgwal 58,,,,,,books,,,4.89732,,MSa 10001600 Su 11301600,,,,httpwwwbookexchangenl,,,,,buy,31 20 6266266,,,,,,,,,,,,,,,,,,,,,,,,,
152,Kalverstraat,,,,Waterstones,,Waterstones,Another good tip for English literature Prices on the high side but theres a good selection of fiction and childrens books They also have magazines newspapers and board games,52.36881,enWaterstones,X    X X   yes 2234 limited 983 no 881,,,limited,,Waterstones,,1012XE,Kalverstraat 152,,,,,,books,,httpswwwwaterstonescombookshopsamsterdam,4.89098,,MSa 09001900 Su 10301800,,,,httpwwwwaterstonescomwaterstoneswebnavigatedopPageID200010,,,,,buy,,,,Price High side,,,,,,,,,,,,,,,,,,,,,,
35,Nieuwendijk,,,,Gebr Niemeijer,,,Frenchstyle bakery with pastries croissants breads sandwiches all baked fresh on premises Open for breakfast and lunch eatin or takeaway Bring the kids and eat in the small playroom upstairs,52.378173,,yes 10 no 9   yes 3 X   X   X,,,,,Gebroeders Niemeijer,,1012MA,Nieuwendijk 35,,,,,,bakery,,,4.895704,,TuFr 08151830 Sa 08301700 Su 09001700,,yes,,httpwwwgebroedersniemeijernl,,,,,eat,31 20 7076752,,,€611,httpswwwgebroedersniemeijernl,Brunch,No,,,,,,,Familyfriendly,Cheap,,,,,,,,,,,
183,Nieuwendijk,,,,Van der Linde,,,Known for its whipped cream,52.374908,,X X X    yes 72 no 22 unisex 2 yes 2234 limited 983 no 881,,,no,,Banketbakkerij Van der Linde,,1012MG,Nieuwendijk 183,,,,,,bakery,,,4.89424,,M 13001700 TuTh 11001745 F 09001745 Sa 09001700 Su 12001700,,,no,,,,,,eat,31 20 6248213,,,A small ice cream costs €1 a big one €2,,Dessert,No,,,,,,,Casual,"Based on the prices provided
 Small ice cream €1 Cheap
 Big ice cream €2 Cheap",,,,,,,,,,,
2,Nieuwendijk,,,,ZomerijsWinterkost,,,ZomerijsWinterkost means summer ice cream and winter food They have all the flavors you can think of and can even make a flavor on demand but you have to tell the owner one or two days in advance All the ice cream is homemade with natural ingredients for a reasonable price In the winter typical Dutch winter food is served like mashed potatoes with cabbage and smoked sausage,52.37884,,X X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1   X yes 2234 limited 983 no 881,,,no,,Joselito Tapas,,1012MK,Nieuwendijk 4,,,,spanish,,,,,4.89461,,,,,,,,,,,eat,,restaurant,,,httpsjoselitonl,Dinner,This is a type of 3star Micheline experience,,,,,,,Casual,,,,,,,,,,,outdoor,
60,Zeedijk,,,,Bird,,,Very crowded little snack bar with Thai food Not to be confused with the restaurant of the same owner on the other side of the street Try the chicken in oyster sauce,52.37477,,X X   yes 2234 limited 983 no 881,,,no,,Bonne,,1012BA,Zeedijk 72,,,,,,clothes,,,4.9008,,13002200 daily,,,,httpwwwthaibirdnl,,,,,eat,31 20 6201442,,,€1217,,Lunch,No,,,,,,,Casual,Based on the price range of €1217 for a meal this would be categorized as a cheap option,,,,,,,,,,,
60,Zeedijk,,,,KamYin,,,KamYin is a remarkably popular ChineseSurinamese restaurant because of its low prices and superfast service The food is absolutely delicious and some menus go for as low as €6 Service is nearly instant But dont expect a romantic setting Coke is handed out in cans its very noisy and the lighting is unflattering The area near the window gives a bit of a quieter atmosphere than the back so come early for a better seat However dont judge this place for something it doesnt try to be for a cheap and fast joint its unmatched Try the Sichuan Peking Duck if youre into Chinese and into spicy food or the nasi moksi meti chicken pork and rice for Surinamese Wash it down with a Fernandes Surinamese soft drink,52.37477,,X X   yes 2234 limited 983 no 881,,,no,,Bonne,,1012BA,Warmoesstraat 68,,,,,,clothes,,,4.9008,,,,,,,,,,,eat,31 20 6253115,,,€712,,Dinner,No,,,,,,,Casual,Cheap,,,,,,,,,,,
115117,Zeedijk,,,,New King,,,Slowly becoming an institution this hugely popular Mandarin Chinese restaurant seems to have found a perfect balance between food price and ambiance The food is authentically Chinese delicious fresh and quickly served and all of that for a bargain Service is fast and rushed but it doesnt feel like a snack bar It has a stylish interior and its still one of those places you could bring a date to The biggest problem is that everyone seems to know this place so its somewhat crowded and noisy and youll probably have to wait outside for a seat to become available When you get in order the oysters Theyre a hit,52.37362,,X X X  yes 2234 limited 983 no 881,,,no,,New King,,1012AV,Zeedijk 115,,,,chinese,,,,,4.90028,,11002230 daily,,,,httpwwwnewkingnl,,,,,eat,31 20 625 2180,restaurant,,€1520,,,3 star,,,,,,,Chic,Based on the price range of €1520 for a meal this would typically be categorized as a mediumpriced option,,,,,,,,,,,
1,Binnen Bantammerstraat,,,,OCHA,,,This used to be just the little Thai snackbar around the corner but since a raving review in the local newspaper Het Parool big crowds are waiting in line to get seated during dinnertime The scenery is simple and the restaurant is very small and cramped However the hype is all about the food which is absolutely mouthwatering They have the usual Thai fare but the dish to go for is the massaman curry their specialty,52.37404,,X X   X X  yes 2234 limited 983 no 881,,,no,,OCha,,,Binnen Bantammerstraat 1,,,,thai,,,,,4.90185,,TuSu 16002230,,,,,,,,TuSu 16002200,eat,31 20 625 9958,restaurant,,€15,,Dinner,3 star,,,,,,,Casual,This place is categorized as medium priced,,,,,,,,,,,vegan and vegetarian
49,Warmoesstraat,,,,Pasta Pasta,,,Serves delicious pastas made just as you want them Choose a sauce topping and pasta for a tasty but wellpriced meal,52.3753879,,X X wlan 431 yes 64 no 20 X    X,,,,,Pasta Pasta,,1012HW,Warmoesstraat 49,,,,italian,,,,,4.8983495,,SuTh 11000100 F Sa 11000300,,,,httpswwwfacebookcompagesPastaPastaAmsterdam170100713173330,wlan,,,,eat,31 20 331 1199,restaurant,,€490,httpspastapastanl,Dinner,No星,,,,,,,Casual,Cheap,,,,,,,,,,,
26,Oudebrugsteeg,,,,Rapper,,,Offers delicious sandwiches in freshly baked wraps and salads with a selection of home sauces Prices vary from €395 for vegetarian wrap to €595 for BlackAngus Entrecôte wrap,52.37604,,X X,,,,,De Kroon,,1012JP,30 Oudebrugsteeg,,,,,,cannabis,,,4.89597,,,,,,,,,,,eat,,,,"Vegetarian wrap €395
 BlackAngus Entrecôte wrap €595",,Lunch,No,,,,,,,Casual,This place would be categorized as cheap based on the price ranges provided,,,,,,,,,,,
23,Peperstraat,,,,Greetje,,,Traditional Dutch alongside French classics Located in an historic building on a quiet side street near Central Station its off the beaten track so most of the diners are local Open 6 days a week not Mondays a reservation is usually necessary,52.371581,,X X X   yes 2234 limited 983 no 881,,,yes,,Greetje,,1011TJ,Peperstraat 2325,,,,DutchFrench,,,,,4.907678,,,,,,httpwwwrestaurantgreetjenl,,,,,eat,31 20 7797450,restaurant,,,,Dinner,No,,,,,,,Intimate,,,,,,,,,,,,
291B,Spuistraat,,,,Kantjil  de Tijger,,,Great spices and meat dishes IndianIndonesian food Try the Nasi Goreng Rames,52.36924,,X X X    X yes 2234 limited 983 no 881,,,yes,,Kantjil  De Tijger,,1012VS,Spuistraat 291,,,,indonesian,,,,,4.88909,no,,,,,,,,,,eat,,restaurant,,,httpskantjilnl,Dinner,No,,,,,,,Intimate,,,,,,,,,,,,
4,Jodenbreestraat,Rembrandt House,,,Rembrandt Corner,,,The house where Rembrandt van Rijn lived,52.369426,,X  X  yes 82 no 18 EUR 24 2 adults camper 2 first hour and restaurant free €2hour€8day€5extra night 1 X         X    X yes 2234 limited 983 no 881,nlRembrandthuis,,limited,,Rembrandthuis,Museum not fully accessible  but the exhibitions are accessible by lift,1011NK,Jodenbreestraat 2,,,,,,,CategoryRembrandt House Museum,,4.901157,yes,,,,,,,,,TuSu 10001800,eat,31 20 520 0400,museum,,,httpswwwrembrandthuisnl,,No,,,,,,,Intimate,,,,,,,,,,,,
15,Jodenbreestraat,,,,Tonys NY City Bagels,,,Oversized cups of coffee muffins and bagels Muffins brownies giant cookies cheesecake and bagels spread with various toppings are served at reasonable prices to a clientèle that is a mix of locals and tourists American themed There are 3 locations in the city,52.369082,,X X yes 217 no 4 X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1    yes 72 no 22 unisex 2  yes 2234 limited 983 no 881,,,limited,,Tonys New York City Bagels,,1011NG,Jodenbreestraat 15,,,,american,,,,,4.903025,yes,,,,yes,httpwwwtonysnycitybagelsnl,,,,MoFr 08001800 Sa 08301800 Su 09001300,eat,31 20 421 5930,cafe,,,,Breakfast,No,,,,,,,Casual,,,,,,,,,,,indoor and outdoor,
,,,,,Samhoud Places,,,This modern place was recently awarded with 2 Michelin stars making it one of only 2 restaurants in Amsterdam to claim that recognition Excellent service high quality modern cooking and although perhaps subject to taste a contemporary design interior Wednesdays to Sundays it also serves lunch Closed on Mondays Call ahead,,,,,,,,,,,Oosterdokskade 5,,,,,,,,,,,,,,,httpwwwsamhoudplacescom,,,,,eat,31 20 2602094,,,€130 for 3 courses,,Lunch,2 star,,,,,,,Chic,This place would be categorized as expensive,,,,,,,,,,,
457,Singel,,,,Blue,,,The selling point of this cafe is its 360 degrees view over Amsterdam Its interior is minimalist and stylish A great place to have a Dutch cup of coffee while taking in the views Unfortunately its only open at daytime as evenings are reserved for private events,52.367425,,X   X   X  X yes 2234 limited 983 no 881,nlKalverpassage,,yes,,Kalverpassage,,1012WP,3F Kalvertoren Singel 457,,,,,,mall,,,4.891445,yes,M 11001830 Tu W F Sa 10001830 Th 10002100 Su 12001830,,,,httpwwwblueamsterdamnl,,,,,drink,31 20 4273901,yes,Kalvertoren,,httpswwwkalverpassagenl,,,,,,,Coffee,Ambient,Chic,,,,,,,,,,,,
20,Nieuwe Doelenstraat,,,,De Jaren,,,A minimal artdeco interior next to Hotel dEurope and a great view of where all the main canals come together climb the stairs to the upper floor  the view is better and the crowds surprisingly thinner Food is middling and on the pricy side but its a nice place to sip a cup of coffee or tea and read a newspaper,52.36803,,X  wlan 431 yes 64 no 20  X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1 X yes 2234 limited 983 no 881,nlDe Jaren,,no,,De Jaren,,1012CP,Nieuwe Doelenstraat 2022,,,,,,,,,4.89524,,,,,,httpwwwcafedejarennl,yes,,,MoSu 09002300,drink,31 20 6255771,restaurant,,Price pricy,httpswwwcafedejarennl,,,,,,,Coffee,Jazz,Casual,Im sorry but I need the specific price of the drink in order to categorize the place as cheap medium or expensive Can you please provide the exact price in euros,,,,,,,,,,outdoor,vegetarian
124,Valkenburgerstraat,,,,Filter,,,Small ecofriendly coffeebar situated in the lobby of hotel Ecomama Serves great coffee breakfast and a small selection of sweet and savoury treats Also organic tea juice and the best grilledcheese sandwiches Have a relaxed morning on the sunny terrace or enjoy art by starting Dutch artists,52.36971,,X     X,,,,,Ecomama,,1011NA,Valkenburgerstraat 124,,,,,,,,,4.90692,,8001700,,,,httpwwwfilteramsterdamnl,,,,,drink,31 20 770 9529,hostel,,,httpswwwecomamahotelcom,,,,,,,Coffee,Relaxed,Casual,,,,,,,,,,,,
4,Dijksgracht,,recommended,,Hannekes Boom,,,One of Amsterdams hidden secrets Hannekes Boom is a cosy somewhat ramshackle bar with a waterfront along the IJ Its a great place to just hang out and have a beer Not for clubbers but for those looking for a relaxing underground atmosphere and live music It is centrally located but off the tourist path so it has a local feel to it Outdoor seating is available but you have to order your drinks inside If you want to eat make a reservation in advance though the food is nothing special,52.37626,,X X X X yes 509 no 131 only 16 terrace 12 pedestrianzone 11 sidewalk 6 patio 1  yes 36 recommended 14 required 8 no 4   X yes 2234 limited 983 no 881,,,limited,,Hannekes Boom,,1019BS,Dijksgracht 4,,,,international,,,,,4.91155,,SuTh 11000100 F Sa 11000300,,,,httpwwwhannekesboomnl,,,,MoThSu 11000100 FrSa 11000300,drink,31 20 419 9820,restaurant,,,httpshannekesboomnl,,,,,,,Beer,Live,Intimate,,,,,,,,,,,outdoor,
,,,,,Brouwerij de Prael,,,A brewery tasting room and beer shop all in one,52.37534,,X X,,,,,Brouwerij De Prael,,,Oudezijds Voorburgwal 2630,,,,,,,,,4.89964,,Beer shop 12001900 tasting room TuSa 12002400 Su 12002300,,,,httpdepraelnl,,,,,drink,31 20 4084469,bar,,Brewery tour €750 or €1650 beer tasting with four beers €10,,,,,,,,Beer,None,Casual,The brewery tour for €750 would be considered cheap the beer tasting with four beers for €10 would be considered medium and the brewery tour for €1650 would also be considered medium,,,,,,,,,,,
3,Raamsteeg,,,,Cracked Kettle,,,This beer wine and spirits shop carries independent unique and rare bottles The staff are friendly but the space is quite confined and obtaining bottles from the very top shelves requires assistance and a dust rag,52.37017,,X X   yes 2234 limited 983 no 881,,,no,,Scissorhands,,1012VZ,Raamsteeg 3,,,,,,hairdresser,,,4.8887,,12002200 daily,,,,httpwwwcrackedkettlecom,,,,,drink,,,,,,,,,,,,wine,None,Casual,,,,,,,,,,,,
